118,我校“电子与通信工程研究生培养创新基地”成功入选“全国工程专业学位研究生联合培养示范基地”,2017-09-20,x
119,我校荣登“国家名片”系列纪念封,2017-09-20,m
120,新学期伊始 　研究生教学秩序井然,2017-09-19,u
121,林伯强教授3篇文章再次入选ESI-Hot Papers,2017-09-19,h
122,紧扣“一带一路”脉搏  强化“四个正确认识”——我校马研班赴新加坡、马来西亚实践活动圆满完成,2017-09-18,t
123,张荣校长亲切看望深圳校友会、广东校友会代表,2017-09-18,t
124,我校外文学院法语系学子入选外交部2017年定向培养人选,2017-09-18,p
125,校领导应邀参加世界人文大会、访问波兰弗罗茨瓦夫大学,2017-09-18,:
126,国家自然科学基金委、福建省科技厅领导一行深入我校科研单位调研,2017-09-15,/
127,2017级本科生新生军训正式开始,2017-09-15,/
128,学校欢迎承训部队入驻,2017-09-15,n
129,海洋与地球学院高树基课题组在Nature Communications发表论文,2017-09-15,e
130,学校开展新学期安全卫生检查,2017-09-15,w
131,附属翔安医院执行院长张国君一行到深圳调研,2017-09-15,s
132,我校加入先进航空发动机2011协同创新中心,2017-09-15,.
133,公共卫生学院夏宁邵教授团队在《自然•通讯》发表研究成果,2017-09-14,x
134,我校学子再获中国大学生物理学术竞赛一等奖,2017-09-14,m
135,保卫处在迎新工作点抓获盗窃自行车嫌疑人,2017-09-14,u
136,我校10项教学成果荣获2017年福建省高等教育教学成果奖,2017-09-14,h
137,重走“红色之路”，传承革命精神——学校举办教工党支部书记培训班,2017-09-14,t
138,市总工会领导到我校开展教师节慰问活动,2017-09-13,t
139,《光明日报》刊文报道“四有好老师”潘懋元,2017-09-13,p
140,药学院与美国辛辛那提大学药学院签署联合培养项目协议,2017-09-13,:
141,我校参加“中日大学展暨论坛in Innovation Japan 2017”,2017-09-13,/
142,我校携手中国航发人才战略合作   人才输送助力航空强国梦,2017-09-13,/
143,第十三届学生运动会厦大健美操队员代表福建再获佳绩,2017-09-12,n
144,关于启动防御2017年第18号台风“泰利”Ⅳ级应急响应的通知,2017-09-12,e
145,学校召开校领导班子暑期务虚研讨会,2017-09-12,w
146,美国加州大学河滨分校来访并签署“国际化师资培养与储备计划”合作协议,2017-09-12,s
147,师生点赞新演武运动场,2017-09-12,.
148, 我校学子在“2017年全国大学生智能互联创新大赛”中再获一等奖,2017-09-12,x
149,学校基层党务干部赴古田瑞金接受革命传统教育,2017-09-12,m
150,我校高能量密度锂硫电池研究取得重要进展,2017-09-12,u
151,我校收到厦门会晤志愿服务保障工作指挥部感谢信,2017-09-11,h
152,2017“圆梦天使杯”国际空中机器人大赛（亚太赛区）厦门大学白鹭队获佳绩,2017-09-11,t
153,“迎接党的十九大，做好学生引路人”——厦门大学举行庆祝2017年教师节专场音乐会,2017-09-10,t
154,学校召开2017年教师节座谈会,2017-09-10,p
155,我校新闻传播学院与中国传媒大学国家传播创新研究中心共同主办2017中国传播论坛暨金砖国家传媒国际研讨会,2017-09-10,:
156,学校开展教师节慰问活动,2017-09-10,/
157,教育部陈宝生部长来校参加金砖国家领导人厦门会晤有关配套活动,2017-09-08,/
158,教育部副部长田学军来校调研,2017-09-08,n
159,厦大学子代表福建队获全国第十三届学生运动会武术比赛首金,2017-09-08,e
160,学校欢送2017年29名应征入伍学生,2017-09-08,w
161,【我和“金砖”有个约】青春共赴，“金厦”之约——我校厦门会晤志愿者“小白鹭”圆满完成任务,2017-09-08,s
162,厦门市领导慰问我校万惠霖院士,2017-09-08,.
163,【我和“金砖”有个约】贴上红丝带　加入“防艾”宣传——走进 “美好青春我做主”防艾抗艾主题作品展,2017-09-07,x
164,陈支平教授当选中国明史学会第八届理事会会长,2017-09-07,m
165,【我和“金砖”有个约】难忘建南“最美中国梦”——第二届联合国教科文组织女童和妇女教育奖颁奖仪式及文艺演出侧记,2017-09-06,u
166,【我和“金砖”有个约】央视新闻直播间：厦门走透透 “学”在厦门,2017-09-06,h
167,【我和“金砖”有个约】厦大艾滋病诊断试剂盒远销全球,2017-09-06,t
168,厦门大学官方微博荣获“2016-2017年度优秀高校官方微博”奖,2017-09-06,t
169,【我和“金砖”有个约】新华社：莱蒙托夫铜像见证厦门对俄人文交流不断加强,2017-09-06,p
170,【我和“金砖”有个约】央视新闻直播间：厦门大学 与金砖结缘  为金砖服务,2017-09-06,:
171,厦门大学平潭校友会正式成立,2017-09-06,/
172,校长张荣会见英国创意艺术大学校长,2017-09-06,/
173,人社部副部长张义珍来校调研,2017-09-06,n
174,校领导看望慰问我校金砖会晤志愿者和工作人员,2017-09-02,e
175,航空航天学院助力全球“一站式”航空维修基地建设,2017-08-31,w
176,中共厦门大学委员会关于巡视整改情况的通报,2017-08-30,s
177,我校学子获得首届全国大学生化工实验大赛特等奖,2017-08-25,.
178,【我和“金砖”有个约】央视“朝闻天下”：厦门百万志愿者迎八方来客,2017-08-24,x
179,【我和“金砖”有个约】最美志愿者郑一　最美青春“一一”道来,2017-08-24,m
180,【在实践路上】在实践中感受中国力量——我校“豫见荆楚”博士团赴鄂豫两省开展社会实践活动,2017-08-24,u
181,【我和“金砖”有个约】最美志愿者田雪杉　在奉献中感受快乐,2017-08-24,h
182,中国农业银行行长赵欢来访我校,2017-08-24,t
183,【我和“金砖”有个约】最美志愿者李柯影　在志愿服务中传递真诚和真情,2017-08-23,t
184,我校贵州校友会注册成立,2017-08-23,p
185,我校“四青”人才暑期研修班顺利举行,2017-08-23,:
186,【实践路上】重走革命长征路，助力伟大医学梦，感怀一世爱国情——医学院大医班“一学一做”实践队医路黔行,2017-08-23,/
